id,car_class,city_mpg,combination_mpg,cylinders,displacement,drive,fuel_type,highway_mpg,make,model,transmission,year
1354,van,22,23,3,3.7,rwd,diesel,25,Ford,Focus,a,2014
1355,suv,101,106,0,0,rwd,electricity,111,Chevrolet,Cruze,m,2019
1356,van,30,33,12,6,4wd,diesel,36,Ford,Escape,m,2019
1357,suv,28,32,8,6.4,fwd,gas,37,Toyota,Prius,m,2021
1358,luxury,21,25,10,1.2,rwd,diesel,29,Ford,Focus,a,2019
1359,suv,53,55,6,5.3,rwd,gas,57,Toyota,Camry,a,2015
1360,van,50,52,4,4.2,rwd,diesel,54,BMW,528i,m,2016
1361,luxury,31,36,6,5.1,fwd,gas,41,BMW,X5,a,2019
1362,suv,28,29,8,6.5,fwd,gas,30,Ford,Fusion,a,2013
1363,van,35,37,10,3.3,4wd,gas,40,Chevrolet,Cruze,m,2014
1364,midsize,93,97,0,0,rwd,electricity,101,BMW,X5,a,2013
1365,midsize,26,29,6,1.6,4wd,diesel,32,Tesla,Model Y,m,2023
1366,van,30,33,8,4.7,awd,diesel,36,Toyota,Prius,a,2012
1367,economy,28,30,8,6.2,awd,diesel,32,Toyota,Prius,a,2012
1368,midsize,15,17,3,4,rwd,gas,20,Chevrolet,Equinox,m,2013
1369,economy,117,121,0,0,fwd,electricity,126,Toyota,Camry,a,2017
1370,fullsize,49,52,12,3.8,fwd,diesel,56,BMW,X3,m,2011
1371,economy,37,40,3,4.9,4wd,diesel,43,Honda,Fit,a,2023
1372,luxury,96,100,0,0,4wd,electricity,104,Toyota,Camry,m,2020
1373,compact,93,98,0,0,fwd,electricity,103,Honda,CR-V,m,2017
1374,fullsize,59,61,8,1.3,4wd,gas,63,Chevrolet,Silverado,a,2018
1375,fullsize,96,97,0,0,rwd,electricity,98,Toyota,Camry,m,2020
1376,van,12,15,12,6.1,4wd,diesel,19,Chevrolet,Silverado,a,2019
1377,compact,18,21,10,2.7,fwd,diesel,24,Ford,Fusion,a,2014
1378,truck,112,113,0,0,rwd,electricity,114,Mercedes,GLC300,a,2014
1379,compact,33,35,4,4,awd,gas,38,Nissan,Sentra,a,2018
1380,van,38,39,6,3.8,rwd,gas,40,BMW,320i,m,2012
1381,fullsize,47,50,6,1.9,fwd,gas,54,Nissan,Versa,a,2019
1382,luxury,44,48,8,4.4,4wd,diesel,52,BMW,X5,m,2013
1383,van,42,46,4,2.3,4wd,gas,51,Tesla,Model X,a,2012
1384,compact,57,60,4,5.1,4wd,diesel,64,Mercedes,GLC300,m,2015
1385,fullsize,49,52,4,3.7,awd,diesel,56,Ford,Escape,a,2010
1386,suv,27,32,8,4,4wd,gas,37,Mercedes,E350,m,2010
1387,compact,43,44,10,3.5,awd,gas,45,BMW,X5,m,2022
1388,truck,30,31,12,5.3,fwd,diesel,33,Honda,Fit,a,2010
1389,van,100,105,0,0,awd,electricity,110,Mercedes,GLC300,m,2015
1390,suv,57,59,4,3.1,fwd,diesel,62,Chevrolet,Silverado,m,2018
1391,economy,19,23,3,5.1,4wd,diesel,28,Chevrolet,Cruze,a,2018
1392,van,95,96,0,0,awd,electricity,97,Ford,Escape,m,2015
1393,van,23,24,10,4.3,4wd,gas,26,Nissan,Altima,a,2015
1394,economy,31,35,4,4.1,4wd,diesel,39,Honda,Fit,a,2021
1395,midsize,48,49,6,4.7,4wd,diesel,51,Tesla,Model Y,a,2010
1396,suv,21,23,12,4.6,rwd,gas,26,Tesla,Model S,m,2010
1397,truck,43,45,12,2.9,4wd,gas,47,Honda,Accord,m,2018
1398,economy,117,121,0,0,rwd,electricity,125,Toyota,Prius,a,2021
1399,suv,23,25,4,4.9,awd,diesel,28,Chevrolet,Cruze,m,2011
1400,van,59,61,4,5.6,rwd,diesel,63,Ford,Escape,m,2010
1401,economy,38,41,8,4.7,4wd,diesel,45,Toyota,Prius,a,2022
1402,fullsize,38,39,10,1.1,fwd,gas,41,Ford,Escape,a,2023
1403,suv,33,35,8,6.2,rwd,gas,37,Mercedes,GLE350,a,2015
1404,luxury,106,107,0,0,rwd,electricity,109,Chevrolet,Cruze,a,2021
1405,van,96,101,0,0,rwd,electricity,106,Mercedes,C300,m,2018
1406,economy,25,29,3,4.3,fwd,gas,33,Nissan,Altima,a,2016
1407,fullsize,24,26,6,3.6,awd,diesel,28,Tesla,Model Y,a,2020
1408,luxury,16,17,3,2.9,awd,diesel,18,Ford,Fusion,a,2020
1409,compact,111,116,0,0,rwd,electricity,121,Ford,F-150,m,2020
1410,suv,12,14,10,1.4,fwd,diesel,16,Nissan,Versa,a,2019
1411,suv,113,114,0,0,rwd,electricity,115,Toyota,Corolla,a,2013
1412,suv,120,124,0,0,4wd,electricity,128,Nissan,Sentra,m,2012
1413,luxury,17,18,3,1,fwd,diesel,19,Tesla,Model S,a,2022
1414,midsize,112,113,0,0,rwd,electricity,114,Chevrolet,Silverado,m,2017
1415,midsize,19,20,10,5.5,fwd,gas,22,Toyota,RAV4,m,2012
1416,van,14,19,4,2.2,awd,gas,24,Honda,Civic,a,2020
1417,truck,43,44,8,1.3,rwd,diesel,46,Tesla,Model 3,a,2021
1418,midsize,110,113,0,0,rwd,electricity,117,Nissan,Rogue,m,2015
1419,midsize,23,25,10,2.4,rwd,diesel,28,Chevrolet,Malibu,a,2013
1420,midsize,43,46,10,6.2,4wd,diesel,50,Nissan,Rogue,m,2019
1421,luxury,29,31,12,4,rwd,diesel,34,Honda,Accord,a,2012
1422,midsize,108,110,0,0,awd,electricity,112,Chevrolet,Cruze,m,2022
1423,economy,94,96,0,0,rwd,electricity,99,Honda,Civic,m,2019
1424,suv,21,23,12,6.4,fwd,gas,26,Honda,CR-V,a,2017
1425,midsize,43,48,12,2.5,rwd,gas,53,Tesla,Model 3,m,2019
1426,truck,112,117,0,0,rwd,electricity,122,Nissan,Altima,a,2019
1427,fullsize,114,118,0,0,fwd,electricity,123,Mercedes,GLE350,m,2020
1428,midsize,37,41,8,4.5,rwd,gas,46,Nissan,Sentra,m,2014
1429,suv,11,12,12,5.5,fwd,gas,13,BMW,528i,a,2017
1430,economy,34,35,8,3.3,4wd,diesel,36,Toyota,Prius,m,2017
1431,luxury,45,49,6,4.2,awd,diesel,53,BMW,320i,a,2023
1432,fullsize,54,57,6,1.4,fwd,gas,61,Ford,Fusion,m,2023
1433,truck,57,62,3,1.2,fwd,gas,67,Nissan,Rogue,a,2021
1434,truck,48,52,12,4.6,rwd,diesel,57,Ford,Focus,a,2021
1435,midsize,34,36,10,6,awd,diesel,38,Honda,Accord,a,2021
1436,truck,110,113,0,0,4wd,electricity,116,Nissan,Altima,a,2011
1437,compact,109,111,0,0,4wd,electricity,114,Ford,Escape,m,2018
1438,compact,92,95,0,0,fwd,electricity,98,Ford,Focus,a,2018
1439,midsize,36,40,8,6.4,awd,diesel,44,Chevrolet,Equinox,m,2010
1440,luxury,106,107,0,0,4wd,electricity,109,Tesla,Model 3,a,2021
1441,compact,10,11,3,2.1,awd,diesel,12,Tesla,Model X,m,2017
1442,economy,120,122,0,0,fwd,electricity,124,Ford,Fusion,a,2018
1443,luxury,117,120,0,0,rwd,electricity,124,Tesla,Model X,m,2011
1444,luxury,20,22,12,6.4,rwd,gas,25,Honda,Accord,m,2022
1445,luxury,33,34,4,1.8,fwd,gas,36,Mercedes,GLC300,m,2023
1446,luxury,33,37,12,6,awd,diesel,41,Ford,Fusion,a,2010
1447,van,10,11,4,3.4,4wd,diesel,13,Honda,CR-V,a,2022
1448,economy,19,20,8,4.2,4wd,gas,22,Honda,Civic,a,2014
1449,van,42,44,8,1.4,awd,gas,46,Ford,Escape,m,2023
1450,compact,113,114,0,0,4wd,electricity,116,Toyota,Camry,a,2019
1451,economy,118,121,0,0,4wd,electricity,124,Tesla,Model S,m,2019
1452,luxury,39,44,10,6,4wd,gas,49,Nissan,Rogue,a,2022
1453,van,102,105,0,0,4wd,electricity,108,Ford,Focus,a,2012
1454,economy,95,99,0,0,rwd,electricity,104,Nissan,Rogue,a,2018
1455,van,114,118,0,0,fwd,electricity,123,Toyota,RAV4,m,2016
1456,truck,32,34,10,4.6,awd,diesel,37,BMW,X5,a,2021
1457,van,104,108,0,0,awd,electricity,113,Ford,Focus,a,2015
1458,truck,13,15,3,1.4,fwd,gas,18,BMW,320i,m,2018
1459,fullsize,95,100,0,0,rwd,electricity,105,Toyota,RAV4,m,2012
1460,luxury,32,35,10,5.2,awd,diesel,38,Tesla,Model S,a,2013
1461,compact,35,36,3,1.5,4wd,diesel,38,Ford,Escape,m,2018
1462,economy,13,14,10,4.7,4wd,diesel,15,Mercedes,GLC300,m,2023
1463,suv,35,36,3,5,awd,diesel,37,Ford,Fusion,m,2018
1464,truck,25,29,4,1.9,rwd,gas,34,Tesla,Model Y,m,2020
1465,truck,21,24,4,1.6,4wd,gas,28,Tesla,Model Y,m,2017
1466,compact,15,19,4,1.3,4wd,gas,24,BMW,X3,a,2021
1467,luxury,47,51,10,2.2,awd,diesel,56,Toyota,RAV4,a,2023
1468,truck,107,108,0,0,awd,electricity,109,Chevrolet,Malibu,m,2018
1469,economy,90,94,0,0,awd,electricity,98,Honda,Fit,m,2018
1470,economy,35,37,6,1.6,fwd,gas,39,Tesla,Model 3,m,2022
1471,midsize,21,26,3,4.5,4wd,gas,31,Toyota,Prius,m,2014
1472,luxury,93,97,0,0,awd,electricity,101,Ford,F-150,m,2010
1473,economy,53,55,4,3.6,4wd,diesel,58,Honda,Civic,m,2020
1474,midsize,21,22,6,1.1,4wd,gas,23,BMW,528i,m,2019
1475,fullsize,55,59,4,1.6,rwd,diesel,64,Ford,Escape,m,2021
1476,truck,56,59,8,3.2,4wd,gas,63,Mercedes,GLE350,m,2011
1477,fullsize,52,54,6,5.7,rwd,gas,57,Tesla,Model X,a,2012
1478,van,101,106,0,0,4wd,electricity,111,Tesla,Model S,m,2011
1479,fullsize,51,55,12,1.8,rwd,diesel,60,Nissan,Altima,m,2018
1480,van,37,40,4,5.7,4wd,diesel,43,Mercedes,E350,m,2013
1481,fullsize,96,98,0,0,rwd,electricity,100,Ford,Escape,m,2014
1482,truck,98,103,0,0,awd,electricity,108,Honda,Civic,m,2010
1483,compact,25,26,6,3.4,fwd,diesel,28,Ford,Focus,a,2018
1484,midsize,17,20,4,5.5,4wd,gas,23,Tesla,Model S,m,2013
1485,compact,118,120,0,0,4wd,electricity,123,Toyota,Camry,a,2014
1486,midsize,42,44,3,6,4wd,diesel,47,Mercedes,C300,a,2020
1487,midsize,90,91,0,0,awd,electricity,93,Tesla,Model Y,a,2014
1488,suv,27,29,12,4.2,awd,gas,32,BMW,X3,a,2010
1489,luxury,50,54,3,5.8,4wd,gas,58,Toyota,RAV4,m,2021
1490,compact,95,98,0,0,rwd,electricity,102,Mercedes,GLE350,a,2017
1491,luxury,97,100,0,0,fwd,electricity,104,Toyota,Camry,m,2014
1492,luxury,53,57,8,3,awd,gas,62,Chevrolet,Cruze,a,2013
1493,suv,95,99,0,0,fwd,electricity,103,Tesla,Model 3,a,2021
1494,compact,20,21,10,3.2,rwd,gas,22,Tesla,Model Y,a,2020
1495,compact,35,40,10,5.8,4wd,diesel,45,Mercedes,GLE350,m,2015
1496,suv,32,36,6,5.7,awd,diesel,40,Chevrolet,Equinox,m,2020
1497,van,55,60,8,4.4,4wd,diesel,65,Mercedes,E350,a,2014
1498,truck,14,18,6,2.9,4wd,diesel,23,Toyota,Camry,m,2021
1499,compact,31,35,12,2,awd,diesel,40,Mercedes,E350,a,2017
1500,luxury,29,32,12,2,fwd,gas,35,Nissan,Rogue,a,2021
1501,compact,106,109,0,0,rwd,electricity,113,Honda,Accord,m,2015
1502,van,46,48,6,6.2,fwd,gas,51,Tesla,Model 3,a,2018
1503,van,31,35,3,4.7,rwd,diesel,39,Chevrolet,Silverado,m,2011
1504,suv,53,54,3,2.3,4wd,diesel,56,Honda,Accord,a,2018
1505,van,14,15,3,5,awd,diesel,16,Ford,Fusion,a,2011
1506,fullsize,13,18,10,1.3,4wd,gas,23,Honda,Civic,a,2013
1507,suv,11,12,4,2.4,awd,diesel,13,Toyota,Corolla,m,2011
1508,fullsize,28,32,4,4,rwd,gas,37,BMW,528i,m,2020
1509,midsize,59,61,8,4.7,rwd,gas,64,Nissan,Sentra,m,2019
1510,luxury,118,120,0,0,4wd,electricity,123,Chevrolet,Malibu,m,2021
1511,truck,106,107,0,0,awd,electricity,109,Mercedes,GLC300,a,2017
1512,suv,32,35,10,2.7,4wd,gas,39,BMW,320i,m,2013
1513,economy,96,100,0,0,4wd,electricity,104,Toyota,Prius,m,2019
1514,compact,90,93,0,0,fwd,electricity,96,Honda,Accord,m,2017
1515,midsize,50,51,4,3.1,4wd,gas,52,Toyota,RAV4,m,2023
1516,compact,97,101,0,0,awd,electricity,105,Tesla,Model 3,a,2021
1517,economy,100,104,0,0,rwd,electricity,109,Nissan,Sentra,a,2015
1518,compact,21,22,6,1.4,rwd,gas,23,Nissan,Rogue,a,2021
1519,luxury,29,33,8,3.7,4wd,gas,37,Mercedes,GLC300,m,2020
1520,compact,28,31,10,3.8,awd,diesel,34,Toyota,Prius,a,2020
1521,fullsize,27,28,8,1.1,fwd,diesel,29,Toyota,Camry,m,2020
1522,suv,34,35,8,3.7,rwd,gas,36,Mercedes,C300,m,2010
1523,midsize,30,31,10,3.5,fwd,diesel,32,Mercedes,GLE350,m,2011
1524,suv,109,110,0,0,awd,electricity,111,Mercedes,GLE350,m,2016
1525,compact,34,38,10,5.6,awd,diesel,43,Honda,Fit,a,2019
1526,economy,102,104,0,0,fwd,electricity,107,Mercedes,C300,m,2019
1527,truck,25,26,4,5.4,rwd,gas,27,Tesla,Model 3,m,2017
1528,economy,10,13,6,3.5,rwd,diesel,16,Ford,F-150,m,2020
1529,luxury,43,46,8,2.1,fwd,diesel,49,BMW,320i,m,2019
1530,luxury,23,27,3,5.9,awd,gas,32,Tesla,Model S,a,2014
1531,truck,18,19,12,1.4,4wd,gas,20,BMW,X5,m,2023
1532,midsize,26,29,10,2.5,awd,diesel,33,Ford,Fusion,a,2023
1533,van,42,44,10,6.2,4wd,gas,46,Honda,Accord,m,2016
1534,suv,111,114,0,0,awd,electricity,118,Toyota,Prius,a,2020
1535,midsize,107,112,0,0,4wd,electricity,117,BMW,528i,a,2014
1536,van,118,121,0,0,4wd,electricity,124,Nissan,Rogue,m,2020
1537,fullsize,48,50,6,1.9,fwd,diesel,52,Tesla,Model 3,a,2023
1538,suv,120,125,0,0,awd,electricity,130,BMW,528i,m,2011
1539,van,91,95,0,0,4wd,electricity,100,Nissan,Sentra,a,2013
1540,fullsize,37,40,3,5.9,4wd,gas,43,BMW,320i,a,2021
1541,midsize,41,45,12,4.3,rwd,gas,50,Mercedes,GLC300,a,2011
1542,luxury,55,59,10,5.6,fwd,gas,64,Chevrolet,Cruze,m,2015
1543,midsize,59,62,12,3.9,4wd,gas,66,Tesla,Model 3,a,2010
1544,truck,95,99,0,0,rwd,electricity,104,Nissan,Sentra,m,2015
1545,suv,43,44,3,6.2,fwd,diesel,45,Nissan,Versa,m,2014
1546,truck,34,37,12,6.5,awd,gas,40,Chevrolet,Equinox,a,2018
1547,economy,35,38,3,3.8,awd,diesel,42,Toyota,Corolla,a,2013
1548,luxury,37,40,8,2.7,rwd,diesel,43,Tesla,Model X,m,2017
1549,economy,14,15,6,2.1,awd,diesel,16,Ford,Fusion,m,2012
1550,fullsize,111,115,0,0,awd,electricity,119,Chevrolet,Cruze,m,2018
1551,economy,59,61,12,1.9,rwd,diesel,63,Nissan,Sentra,m,2022
1552,fullsize,60,64,4,4.5,awd,gas,69,Tesla,Model Y,m,2018
1553,luxury,55,58,12,1.2,rwd,gas,61,Nissan,Altima,m,2021
1554,compact,115,116,0,0,fwd,electricity,118,Ford,Escape,a,2021
1555,truck,32,37,4,5.6,4wd,gas,42,Ford,Escape,m,2023
1556,truck,102,105,0,0,4wd,electricity,108,Ford,F-150,a,2014
1557,van,28,31,10,3.2,4wd,gas,34,Mercedes,C300,a,2017
1558,economy,115,117,0,0,fwd,electricity,119,Mercedes,E350,a,2017
1559,fullsize,105,106,0,0,4wd,electricity,108,Toyota,RAV4,a,2014
1560,van,42,44,8,2,fwd,diesel,46,Nissan,Sentra,m,2022
1561,compact,37,41,4,3.9,4wd,diesel,46,Chevrolet,Equinox,m,2010
1562,suv,42,47,3,1.4,4wd,diesel,52,Tesla,Model Y,a,2022
1563,truck,17,20,12,3.4,4wd,diesel,24,Tesla,Model Y,a,2016
1564,luxury,27,30,8,4.6,awd,gas,34,Toyota,RAV4,a,2010
1565,truck,101,104,0,0,awd,electricity,108,BMW,320i,m,2016
1566,van,91,93,0,0,fwd,electricity,96,Chevrolet,Cruze,a,2017
1567,fullsize,53,56,6,4.9,awd,gas,60,Honda,CR-V,a,2011
1568,suv,13,17,12,5.2,4wd,diesel,21,Honda,Fit,m,2014
1569,economy,118,119,0,0,awd,electricity,120,Chevrolet,Equinox,m,2018
1570,luxury,112,115,0,0,fwd,electricity,118,Ford,F-150,m,2011
1571,compact,54,58,6,3.6,awd,gas,63,Nissan,Sentra,a,2010
1572,midsize,44,46,12,1.7,4wd,diesel,49,Ford,F-150,a,2020
1573,economy,21,24,6,4.1,fwd,gas,28,Mercedes,C300,m,2014
1574,compact,33,34,4,6.3,awd,gas,36,Mercedes,E350,m,2022
1575,fullsize,115,120,0,0,awd,electricity,125,Tesla,Model X,m,2021
1576,truck,94,96,0,0,rwd,electricity,99,Toyota,Camry,m,2017
1577,suv,14,17,4,5.4,4wd,gas,21,Mercedes,GLC300,a,2022
1578,truck,106,110,0,0,awd,electricity,115,Mercedes,GLE350,m,2023
1579,fullsize,43,45,12,5.3,4wd,diesel,48,Tesla,Model X,a,2022
1580,economy,107,110,0,0,rwd,electricity,113,Honda,Accord,m,2013
1581,economy,98,99,0,0,4wd,electricity,100,Nissan,Sentra,m,2023
1582,suv,43,44,6,1.7,awd,diesel,45,BMW,X3,a,2014
1583,luxury,14,17,6,3.3,awd,diesel,20,Mercedes,E350,a,2015
1584,van,33,36,3,4.4,4wd,diesel,40,BMW,320i,a,2013
1585,truck,42,46,4,3.8,fwd,diesel,50,Ford,F-150,a,2010
1586,suv,36,37,3,1.3,4wd,gas,39,Chevrolet,Cruze,a,2017
1587,midsize,42,44,4,6.3,fwd,diesel,47,Nissan,Versa,m,2019
1588,truck,24,26,3,5.4,4wd,diesel,28,Honda,Civic,a,2021
1589,suv,45,48,10,6.1,awd,diesel,52,Nissan,Altima,a,2018
1590,economy,119,121,0,0,rwd,electricity,124,Mercedes,E350,a,2023
1591,luxury,114,117,0,0,awd,electricity,121,Tesla,Model X,m,2017
1592,fullsize,57,59,3,6.3,fwd,gas,62,Ford,Focus,m,2018
1593,fullsize,38,42,12,6,4wd,diesel,46,Ford,Focus,m,2017
1594,economy,91,92,0,0,awd,electricity,94,Mercedes,E350,m,2011
1595,luxury,49,54,6,5.2,4wd,diesel,59,Toyota,Prius,m,2022
1596,truck,106,108,0,0,4wd,electricity,110,Chevrolet,Cruze,a,2013
1597,suv,23,24,12,3.1,4wd,diesel,26,BMW,X5,a,2018
1598,luxury,19,21,6,4.4,4wd,diesel,24,Honda,Civic,a,2014
1599,midsize,117,119,0,0,rwd,electricity,121,Mercedes,E350,m,2012
1600,luxury,120,121,0,0,fwd,electricity,123,Tesla,Model Y,m,2022
1601,compact,23,27,6,4.4,awd,diesel,31,Honda,Fit,a,2016
1602,truck,46,47,8,3,fwd,diesel,49,Chevrolet,Silverado,m,2019
1603,suv,46,50,8,4.2,awd,gas,54,Tesla,Model X,m,2018
1604,suv,16,18,4,1.9,awd,gas,20,Tesla,Model Y,m,2015
1605,van,31,32,6,6.4,awd,gas,33,BMW,320i,a,2021
1606,van,45,47,4,2.2,awd,diesel,49,Chevrolet,Cruze,m,2020
1607,economy,10,11,10,6,awd,gas,13,Toyota,RAV4,a,2014
1608,truck,103,106,0,0,fwd,electricity,109,Chevrolet,Malibu,m,2016
1609,fullsize,26,28,3,6,4wd,gas,31,Chevrolet,Equinox,a,2012
1610,suv,119,123,0,0,awd,electricity,128,BMW,X5,a,2012
1611,suv,25,27,12,1.6,awd,gas,30,Mercedes,GLE350,m,2011
1612,luxury,92,94,0,0,rwd,electricity,96,Honda,Civic,a,2020
1613,fullsize,50,52,12,1.3,4wd,diesel,54,Mercedes,GLC300,a,2022
1614,suv,105,106,0,0,4wd,electricity,108,Tesla,Model X,a,2016
1615,midsize,21,23,12,6.5,4wd,diesel,25,Nissan,Versa,a,2011
1616,truck,117,118,0,0,4wd,electricity,120,Toyota,Corolla,a,2015
1617,midsize,30,32,3,2.1,4wd,gas,34,BMW,X3,m,2017
1618,economy,51,52,3,3.4,fwd,diesel,54,Ford,Fusion,a,2011
1619,luxury,108,112,0,0,fwd,electricity,116,Nissan,Sentra,m,2022
1620,compact,97,100,0,0,fwd,electricity,103,Chevrolet,Cruze,a,2019
1621,midsize,91,92,0,0,fwd,electricity,94,Nissan,Sentra,m,2011
1622,van,49,50,3,1.9,fwd,gas,52,BMW,320i,a,2018
1623,luxury,102,103,0,0,4wd,electricity,104,Mercedes,GLE350,a,2012
1624,economy,118,121,0,0,fwd,electricity,124,Tesla,Model Y,a,2014
1625,truck,57,58,8,2,4wd,diesel,59,Toyota,Corolla,m,2022
1626,midsize,22,24,10,6.4,4wd,diesel,27,Toyota,Camry,m,2015
1627,economy,24,27,6,6.2,awd,gas,30,Nissan,Sentra,a,2019
1628,luxury,97,98,0,0,rwd,electricity,100,Honda,Civic,m,2017
1629,truck,19,22,4,1.9,rwd,diesel,26,Toyota,Prius,a,2016
1630,midsize,14,17,10,6,awd,diesel,20,Honda,Fit,a,2022
1631,suv,22,25,3,2.9,fwd,gas,29,Tesla,Model Y,a,2015
1632,fullsize,34,39,12,5.2,fwd,gas,44,Toyota,Corolla,m,2014
1633,suv,56,61,10,5.8,4wd,gas,66,Nissan,Rogue,m,2021
1634,economy,23,24,10,3.6,fwd,diesel,25,Chevrolet,Silverado,a,2019
1635,truck,45,50,4,5.4,fwd,diesel,55,Toyota,Corolla,a,2021
1636,suv,96,100,0,0,fwd,electricity,104,Chevrolet,Equinox,a,2014
1637,midsize,96,97,0,0,fwd,electricity,98,Toyota,Camry,a,2022
1638,luxury,99,100,0,0,4wd,electricity,102,Chevrolet,Cruze,m,2022
1639,economy,38,42,8,5.9,awd,gas,46,BMW,320i,a,2016
1640,economy,26,28,8,2,4wd,diesel,30,BMW,X5,a,2010
1641,truck,49,52,6,1.8,awd,gas,55,Chevrolet,Equinox,m,2015
1642,compact,42,44,8,5.6,awd,diesel,46,Chevrolet,Silverado,a,2018
1643,economy,42,45,8,6.2,awd,diesel,48,Mercedes,E350,a,2023
1644,truck,35,36,10,5.6,awd,gas,38,Honda,Fit,a,2020
1645,compact,40,43,6,2.3,fwd,diesel,47,BMW,X5,a,2017
1646,midsize,117,121,0,0,fwd,electricity,125,Ford,Fusion,m,2020
1647,economy,39,43,3,2.5,awd,gas,48,Nissan,Altima,a,2013
1648,economy,15,16,8,1.5,rwd,diesel,17,Ford,F-150,m,2018
1649,economy,108,112,0,0,4wd,electricity,117,Chevrolet,Cruze,m,2010
1650,midsize,23,26,4,4.9,4wd,diesel,30,Tesla,Model S,m,2021
1651,luxury,37,39,6,2.2,4wd,diesel,42,Toyota,Prius,m,2011
1652,economy,47,49,12,2.6,awd,diesel,51,Chevrolet,Silverado,m,2011
1653,truck,111,112,0,0,4wd,electricity,114,Toyota,Camry,m,2011
1654,midsize,15,20,12,2.7,fwd,diesel,25,Nissan,Versa,a,2011
1655,compact,111,112,0,0,awd,electricity,114,Ford,Focus,m,2011
1656,suv,116,117,0,0,4wd,electricity,119,Mercedes,C300,a,2013
1657,midsize,102,106,0,0,4wd,electricity,110,Ford,Escape,m,2014
1658,van,53,55,8,2.3,rwd,gas,57,Nissan,Altima,a,2013
1659,midsize,36,41,3,1.3,4wd,gas,46,Toyota,RAV4,a,2023
1660,van,30,31,10,4.8,fwd,diesel,32,Honda,Accord,a,2019
1661,truck,19,22,8,4.5,awd,gas,26,Chevrolet,Equinox,a,2011
1662,economy,27,28,12,3.5,4wd,gas,30,Mercedes,GLC300,m,2021
1663,compact,112,115,0,0,fwd,electricity,118,Mercedes,C300,m,2015
1664,economy,42,44,8,3.1,awd,gas,46,Nissan,Versa,m,2020
1665,van,17,19,6,5.4,fwd,gas,21,Tesla,Model S,m,2010
1666,luxury,116,120,0,0,awd,electricity,125,Mercedes,E350,m,2013
1667,compact,58,60,3,4.4,fwd,gas,63,Chevrolet,Malibu,m,2022
1668,luxury,31,32,10,5.3,awd,diesel,33,Ford,F-150,m,2018
1669,fullsize,105,106,0,0,awd,electricity,108,Nissan,Versa,m,2015
1670,compact,100,101,0,0,awd,electricity,103,BMW,X5,m,2017
1671,economy,57,58,6,1.6,fwd,diesel,60,Ford,Escape,m,2022
1672,suv,94,98,0,0,fwd,electricity,102,Chevrolet,Cruze,a,2022
1673,fullsize,13,16,8,1.4,4wd,diesel,19,Tesla,Model X,m,2019
1674,midsize,18,22,4,5.4,4wd,diesel,27,Mercedes,E350,a,2017
1675,midsize,38,41,6,6.5,fwd,gas,45,Chevrolet,Equinox,a,2020
1676,van,55,56,8,3.6,fwd,gas,57,Tesla,Model Y,m,2016
1677,van,22,23,6,3.5,fwd,gas,25,Chevrolet,Cruze,m,2016
1678,economy,15,18,8,2.2,rwd,gas,21,Toyota,Prius,a,2022
1679,van,34,35,10,3.1,fwd,diesel,37,Tesla,Model X,a,2016
1680,fullsize,36,39,12,4.9,rwd,diesel,42,BMW,320i,m,2010
1681,truck,95,97,0,0,rwd,electricity,100,Toyota,RAV4,m,2012
1682,fullsize,114,118,0,0,fwd,electricity,122,Ford,Focus,a,2012
1683,truck,37,38,4,3.6,fwd,diesel,40,BMW,528i,a,2013
1684,fullsize,53,56,8,4.6,rwd,gas,59,Honda,Fit,a,2011
1685,compact,21,25,6,4.8,fwd,gas,29,Tesla,Model X,a,2012
1686,truck,47,49,12,6.4,fwd,diesel,52,Nissan,Sentra,a,2013
1687,compact,90,92,0,0,fwd,electricity,95,Chevrolet,Equinox,m,2015
1688,economy,27,31,3,2.2,rwd,gas,35,Nissan,Versa,a,2020
1689,van,20,22,8,2.5,awd,diesel,24,Chevrolet,Malibu,a,2017
1690,midsize,57,59,3,3.8,awd,gas,62,Chevrolet,Silverado,m,2022
1691,luxury,90,94,0,0,rwd,electricity,99,Mercedes,GLE350,a,2015
1692,fullsize,116,121,0,0,awd,electricity,126,Tesla,Model S,m,2021
1693,luxury,15,18,12,6.3,fwd,gas,21,Ford,F-150,a,2021
1694,compact,107,110,0,0,rwd,electricity,114,Nissan,Rogue,a,2016
1695,van,102,105,0,0,fwd,electricity,108,Tesla,Model Y,m,2019
1696,luxury,53,56,6,5.8,awd,gas,59,Chevrolet,Silverado,a,2015
1697,van,16,18,12,5.7,fwd,gas,21,Ford,F-150,m,2014
1698,suv,32,35,6,1.5,4wd,gas,39,BMW,528i,a,2019
1699,midsize,37,39,10,5.7,fwd,diesel,41,Nissan,Sentra,a,2012
1700,midsize,13,16,10,2.4,awd,diesel,20,BMW,X3,a,2012
1701,suv,30,31,3,5.4,rwd,gas,33,BMW,528i,m,2011
1702,luxury,47,51,8,2.7,4wd,diesel,55,Chevrolet,Silverado,m,2023
1703,luxury,114,115,0,0,rwd,electricity,116,Honda,Civic,m,2017
1704,van,60,63,6,2.7,4wd,diesel,66,BMW,528i,a,2019
1705,truck,49,51,10,2,4wd,diesel,54,Ford,Focus,m,2020
1706,van,101,106,0,0,4wd,electricity,111,Toyota,Corolla,m,2012
1707,truck,108,110,0,0,awd,electricity,112,Chevrolet,Cruze,a,2010
